Year,Date,Attendance,Location,Opponent,Team,Venue Capacity,
2021,24-Aug,2620,Entertainment and Sports Arena,Washington Mystics,Los Angeles Sparks,4200,
2021,24-Jun,520,Los Angeles Convention Center,Washington Mystics,Los Angeles Sparks,19050,
2021,19-Aug,1885,STAPLES Center,Atlanta Dream,Los Angeles Sparks,14050,
2021,20-Jun,731,Los Angeles Convention Center,,Los Angeles Sparks,19050,
2021,17-Aug,2200,STAPLES Center,Atlanta Dream,Los Angeles Sparks,14050,
2021,15-Aug,2029,STAPLES Center,Indiana Fever,Los Angeles Sparks,14050,
2021,11-Jul,892,Los Angeles Convention Center,Minnesota Lynx,Los Angeles Sparks,19050,
2021,2-Sep,3121,Target Center,Minnesota Lynx,Los Angeles Sparks,18798,
2021,7-Jul,2730,Angel of the Winds Arena,Seattle Storm,Los Angeles Sparks,10000,
2021,12-Jun,2203,Target Center,Minnesota Lynx,Los Angeles Sparks,18798,
2021,4-Jul,716,Los Angeles Convention Center,Seattle Storm,Los Angeles Sparks,19050,
2021,2-Jul,959,Los Angeles Convention Center,Las Vegas Aces,Los Angeles Sparks,19050,
2021,30-Jun,746,Los Angeles Convention Center,Las Vegas Aces,Los Angeles Sparks,19050,
2021,27-Jun,7304,Phoenix Suns Arena,Phoenix Mercury,Los Angeles Sparks,17071,
2021,21-May,1972,Michelob ULTRA Arena,Las Vegas Aces,Los Angeles Sparks,12000,
2021,24-Jun,520,Los Angeles Convention Center,Washington Mystics,Los Angeles Sparks,19050,
2021,20-Jun,731,Los Angeles Convention Center,New York Liberty,Los Angeles Sparks,19050,
2021,18-Jun,520,Los Angeles Convention Center,Phoenix Mercury,Los Angeles Sparks,19050,
2021,30-May,1124,Wintrust Arena,Chicago Sky,Los Angeles Sparks,10387,
2019,17-Jul,10143,Wintrust Arena,Atlanta Dream,Chicago Sky,10387,
2019,3-Aug,5427,State Farm Arena,Atlanta Dream,Chicago Sky,19050,
2019,23-Jun,5607,Wintrust Arena,Conneticut Sun,Chicago Sky,10387,
2019,30-Jul,6358,Mohegan Sun Arena,Conneticut Sun,Chicago Sky,10211,
2019,11-Jun,4212,Wintrust Arena,Phoenix Mercury,Chicago Sky,10387,
2019,25-Aug,12054,Talking Stick Resort Arena,Phoenix Mercury,Chicago Sky,18055,
2019,7-Jul,6102,Wintrust Arena,Dallas Wings,Chicago Sky,10387,
2019,14-Jul,4261,College Park Center,Dallas Wings,Chicago Sky,7700,
2019,25-May,8524,Target Center,Minnesota Lynx,Chicago Sky,18798,
2019,10-Jul,8508,Wintrust Arena,Minnesota Lynx,Chicago Sky,10387,
2019,11-Jun,4212,Wintrust Arena,Phoenix Mercury,Chicago Sky,10387,
2019,5-Jun,2347,Entertainment and Sports Arena,Washington Mystics,Chicago Sky,4200,
2019,26-Jun,894,Wintrust Arena,Washington Mystics,Chicago Sky,10387,
2019,17-Jul,10143,Wintrust Arena,Atlanta Dream,Chicago Sky,10387,
2019,3-Aug,5427,State Farm Arena,Atlanta Dream,Chicago Sky,19050,
2019,2-Jul,3516,Mandalay Bay Events Center,Las Vegas Aces,Chicago Sky,4413,
2019,9-Aug,4200,Mandalay Bay Events Center,Las Vegas Aces,Chicago Sky,4413,
2019,30-Jun,11067,STAPLES Center,Los Angeles Spark,Chicago Sky,14050,
2019,11-Aug,9244,STAPLES Center,Los Angeles Spark,Chicago Sky,14050,
2019,30-Jun,11067,STAPLES Center,Los Angeles Spark,Chicago Sky,14050,
2019,2-Jul,3516,Mandalay Bay Events Center,Las Vegas Aces,Chicago Sky,14050,
2019,19-Jun,1585,Westchester County Center,New York Liberty,Chicago Sky,3579,
2019,12-Jul,7221,Wintrust Arena,New York Liberty,Chicago Sky,10387,
2019,20-Jun,4416,Mandalay Bay Events Center,Washington Mystics,Las Vegas Aces,4413,
2019,13-Jul,4200,Entertainment and Sports Arena,Washington Mystics,Las Vegas Aces,4200,
2019,2-Jun,2747,Mandalay Bay Events Center,Conneticut Sun,Las Vegas Aces,4413,
2019,11-Aug,4633,Mandalay Bay Events Center,Conneticut Sun,Las Vegas Aces,4413,
2019,23-Aug,7483,Mohegan Sun Arena,Conneticut Sun,Las Vegas Aces,10211,
2019,15-Sep,7981,Thomas & Mack Center,Chicago Sky,Las Vegas Aces,18000,
2019,17-Sep,3964,Entertainment and Sports Arena,Washington Mystics,Las Vegas Aces,4200,
2019,19-Sep,4200,Entertainment and Sports Arena,Washington Mystics,Las Vegas Aces,4200,
2019,22-Sep,6175,Mandalay Bay Events Center,Washington Mystics,Las Vegas Aces,4413,
2019,20-Jun,4413,Mandalay Bay Events Center,Washington Mystics,Las Vegas Aces,4413,Sellout
2019,5-Jul,,Mandalay Bay Events Center,Washington Mystics,Las Vegas Aces,4413,
2019,31-Aug,8470,Mandalay Bay Events Center,Los Angeles Spark,Las Vegas Aces,4413,
2019,1-Aug,11692,STAPLES Center,Los Angeles Spark,Las Vegas Aces,14050,
2019,17-Sep,3968,Entertainment and Sports Arena,Washington Mystics,Las Vegas Aces,4200,
2019,27-Jun,10295,STAPLES Center,Los Angeles Spark,Las Vegas Aces,14050,
2019,18-Aug,6072,Wintrust Arena,Chicago Sky,Las Vegas Aces,10387,
2019,23-Jul,5193,Mandalay Bay Events Center,Seattle Storm,Las Vegas Aces,4413,
