Year,Team ,Player,Salary,Bonus
2020,Dallas Wings,Isabelle Harrison,"$150,000.00 ",
2020,Dallas Wings,Kayla Thornton,"$87,700.00 ",
2020,Dallas Wings,Imani McGee-Stafford,"$68,000.00 ",
2020,Indiana Fever,Tiffany Mitchell,"$140,000.00 ",
2020,Indiana Fever,Candice Dupree,"$119,500.00 ",
2020,Indiana Fever,Jantel Lavender,"$117,000.00 ",
2020,Indiana Fever,Natalie Achonwa,"$107,000.00 ",
2020,Indiana Fever,Erica Wheeler,"$81,600.00 ",
2020,Los Angeles Sparks,Chelsea Gray,"$195,000.00 ",
2020,Los Angeles Sparks,Kristi Toliver,"$185,000.00 ",
2020,Los Angeles Sparks,Chiney Ogwumike,"$119,500.00 ",
2020,Los Angeles Sparks,Candace Parker,"$119,500.00 ",
2020,Los Angeles Sparks,Nneka Ogwumike,"$117,000.00 ",
2020,Las Vegas Aces,Angel McCoughtry,"$185,000.00 ",
2020,Las Vegas Aces,Danielle Robinson,"$130,000.00 ",
2020,Las Vegas Aces,Dearica Hamby,"$117,000.00 ",
2020,Las Vegas Aces,Kayla McBride,"$117,000.00 ",
2020,Las Vegas Aces,Sugar Rodgers,"$80,000.00 ",
2020,Minnesota Lynx,Maya Moore,"$117,000.00 ",
2020,Minnesota Lynx,Odyssey Sims,"$117,000.00 ",
2020,Minnesota Lynx,Sylvia Fowles,"$115,627.00 ",
2020,Minnesota Lynx,Shenise Johnson,"$106,000.00 ",
2020,Minnesota Lynx,Damiris Dantas,"$105,000.00 ",
2020,New York Liberty,Jazmine Jones,"$196,378.00 ",
2020,New York Liberty,Layshia Claredon,"$120,000.00 ",
2020,New York Liberty,Amanda Zahui B,"$110,000.00 ",
2020,New York Liberty,Kiah Stokes,"$91,000.00 ",
2020,New York Liberty,Rebecca Allen,"$81,600.00 ",
2020,Phoenix Mercury,Skylar Diggins-Smith,"$215,000.00 ",
2020,Phoenix Mercury,Brittney Griner,"$215,000.00 ",
2020,Phoenix Mercury,Bria Hartley,"$185,000.00 ",
2020,Phoenix Mercury,Diana Taurasi,"$119,500.00 ",
2020,Phoenix Mercury,Jessica Breland,"$117,000.00 ",
2020,Seattle Storm,Sue Bird,"$215,000.00 ",
2020,Seattle Storm,Breanna Stewart,"$185,000.00 ",
2020,Seattle Storm,Jewell Loyd,"$119,500.00 ",
2020,Seattle Storm,Natasha Howard,"$117,000.00 ",
2020,Seattle Storm,Morgan Tuck,"$115,000.00 ",
2019,Atlanta Dream,Angel McCoughtry,"$117,500.00 ",
2019,Atlanta Dream,Tiffany Hayes,"$115,260.00 ",
2019,Atlanta Dream,Alex Bentley,"$115,000.00 ",
2019,Atlanta Dream,Jessica Breland,"$115,000.00 ",
2019,Atlanta Dream,Elizabeth Williams,"$115,000.00 ",
2019,Chicago Sky,Allie Quigley,"$117,500.00 ",
2019,Chicago Sky,Courtney Vandersloot,"$117,500.00 ",
2019,Chicago Sky,Stefanie Dolson,"$115,000.00 ",
2019,Chicago Sky,Jantel Lavender,"$115,000.00 ",
2019,Chicago Sky,Cheyenne Parker,"$110,000.00 ",
2019,Dallas Wings,Skylar Diggins-Smith,"$117,500.00 ",
2019,Dallas Wings,Glory Johnson,"$117,500.00 ",
2019,Dallas Wings,Tayler Hill,"$115,000.00 ",
2019,Dallas Wings,Kayla Thornton,"$86,000.00 ",
2019,Dallas Wings,Moriah Jefferson,"$64,538.00 ",
2019,Indiana Fever,Candice Dupree,"$117,500.00 ",
2019,Indiana Fever,Natalie Achonwa,"$105,000.00 ",
2019,Indiana Fever,Shenise Johnson,"$104,000.00 ",
2019,Indiana Fever,Erica Wheeler,"$80,000.00 ",
2019,Indiana Fever,Betnijah Laney,"$72,500.00 ",
2019,Los Angeles Sparks,Chiney Ogwumike,"$117,500.00 ",
2019,Los Angeles Sparks,Candace Parker,"$117,500.00 ",
2019,Los Angeles Sparks,Chelsea Gray,"$115,000.00 ",
2019,Los Angeles Sparks,Nneka Ogwumike,"$115,000.00 ",
2019,Los Angeles Sparks,Riquna Williams,"$110,000.00 ",
2019,Las Vegas Aces,Liz Cambage,"$115,000.00 ",
2019,Las Vegas Aces,Dearica Hamby,"$115,000.00 ",
2019,Las Vegas Aces,Kayla McBride,"$115,000.00 ",
2019,Las Vegas Aces,Sugar Rodgers,"$102,000.00 ",
2019,Las Vegas Aces,Tamera Young,"$97,600.00 ",
2019,Minnesota Lynx,Maya Moore,"$115,000.00 ",
2019,Minnesota Lynx,Odyssey Sims,"$115,000.00 ",
2019,Minnesota Lynx,Sylvia Fowles,"$113,360.00 ",
2019,Minnesota Lynx,Seimone Augustus,"$111,000.00 ",
2019,Minnesota Lynx,Danielle Robinson,"$108,000.00 ",
2019,New York Liberty,Tina Charles,"$117,500.00 ",
2019,New York Liberty,Amanda Zahui B,"$108,000.00 ",
2019,New York Liberty,Bria Hartley,"$102,000.00 ",
2019,New York Liberty,Tanisha Wright,"$94,860.00 ",
2019,New York Liberty,Kiah Stokes,"$91,000.00 ",
2019,Phoenix Mercury,DeWanna Bonner,"$127,500.00 ",
2019,Phoenix Mercury,Briann January,"$117,500.00 ",
2019,Phoenix Mercury,Diana Taurasi,"$117,500.00 ",
2019,Phoenix Mercury,Brittney Griner,"$115,000.00 ",
2019,Phoenix Mercury,Camille Little,"$101,000.00 ",
2019,Seattle Storm,Sue Bird,"$117,500.00 ",
2019,Seattle Storm,Jewell Loyd,"$117,500.00 ",
2019,Seattle Storm,Natasha Howard,"$115,000.00 ",
2019,Seattle Storm,Courtney Paris,"$111,000.00 ",
2019,Seattle Storm,Crystal Langhorne,"$105,000.00 ",
